Poli,Dokter,Hari,Waktu
<<<<<<< HEAD
POLI ANAK,dr. AISYA FIKRITAMA A.SP.A,SENIN : 08.00-14.00
POLI ANAK,dr. AISYA FIKRITAMA A.SP.A,RABU : 08.00-14.00
POLI ANAK,dr. AISYA FIKRITAMA A.SP.A,JUMAT : 08.00-14.00
POLI ANAK,dr. MARIA GALUH K.S. DR.SP.A. M.KES,SENIN : 08.00-14.00
POLI ANAK,dr. MARIA GALUH K.S. DR.SP.A. M.KES,RABU : 08.00-14.00
POLI ANAK,dr. DEBBY ANDINA L. SP.A,SELASA : 08.00-14.00
POLI ANAK,dr. DEBBY ANDINA L. SP.A,KAMIS : 08.00-14.00
POLI ANAK,dr. DEBBY ANDINA L. SP.A,JUMAT : 08.00-14.00
POLI KANDUNGAN,dr. ASIH A. SP.OG(K)-UROGIN, RABU : 08.00-14.00
POLI KANDUNGAN,dr. HAFI NURINASARI. SP.OG.M.KES,SENIN : 08.00-14.00
POLI KANDUNGAN,dr. SYAH RINI W. SP.OG. M.KES,SELASA : 08.00-14.00
POLI KANDUNGAN,PROF.dr.SULISTYOWATI.SP.,JUMAT : 08.00-14.00
POLI KANDUNGAN,PROF.dr.SOETRISNO.SP.OG,KAMIS : 08.00-14.00
POLI KULIT DAN KELAMIN,dr. ALAMANDA MURASMITA. SP.DV,SELASA : 08.00-14.00
POLI KULIT DAN KELAMIN,dr. ALAMANDA MURASMITA. SP.DV, JUMAT : 08.00-14.00
POLI KULIT DAN KELAMIN,dr. AMMARILIS MURASTAMI. SP.KK,SENIN : 08.00-14.00
POLI KULIT DAN KELAMIN,dr. AMMARILIS MURASTAMI. SP.KK,KAMIS : 08.00-14.00
POLI KULIT DAN KELAMIN,dr. TRIASARI O. M.SC.SP.KK,SENIN : 08.00-10.00
POLI KULIT DAN KELAMIN,dr. TRIASARI O. M.SC.SP.KK,SELASA : 10.30-12.30
POLI KULIT DAN KELAMIN,dr. TRIASARI O. M.SC.SP.KK,RABU : 08.00-14.00
POLI KULIT DAN KELAMIN,dr. TRIASARI O. M.SC.SP.KK,JUMAT : 08.00-14.00
POLI BEDAH,dr. NUR ROHMAN. SP.B,SENIN : 08.00- 09.00
POLI BEDAH,dr. NUR ROHMAN. SP.B,SELASA : 08.00-14.00
POLI BEDAH,dr. NUR ROHMAN. SP.B,KAMIS : 08.00-14.00
POLI BEDAH,dr. NUR ROHMAN. SP.B,JUMAT : 08.00-14.00
POLI BEDAH,dr. NUR ROHMAN. SP.B,SABTU : 08.00-14.00
POLI BEDAH,dr. NURFATHONAH. SP.B. M.KES,SENIN : 08.00-14.00
POLI BEDAH,dr. NURFATHONAH. SP.B. M.KES, RABU : 08.00-14.00
POLI BEDAH,dr. NURFATHONAH. SP.B. M.KES, KAMIS : 13:00-15:00
POLI BEDAH,dr. NURFATHONAH. SP.B. M.KES, JUMAT : 08.00-14.00
